# -*- conf -*-
# Cosmopolitan Libc Memory Plan for old windows(vista through 8.0) 8tib user virtual memory space

75000000-750fffff 64gb   free
75100000-751fffff 64gb   free
75200000-752fffff 64gb   free
75300000-753fffff 64gb   free
75400000-754fffff 64gb   free
75500000-755fffff 64gb   free
75600000-756fffff 64gb   free
75700000-757fffff 64gb   free
75800000-758fffff 64gb   free
75900000-759fffff 64gb   free
75a00000-75afffff 64gb   free
75b00000-75bfffff 64gb   free
75c00000-75cfffff 64gb   free
75d00000-75dfffff 64gb   free
75e00000-75efffff 64gb   free
75f00000-75ffffff 64gb   free
76000000-760fffff 64gb   free
76100000-761fffff 64gb   free
76200000-762fffff 64gb   free
76300000-763fffff 64gb   free
76400000-764fffff 64gb   free
76500000-765fffff 64gb   free
76600000-766fffff 64gb   free
76700000-767fffff 64gb   free
76800000-768fffff 64gb   free
76900000-769fffff 64gb   free
76a00000-76afffff 64gb   free
76b00000-76bfffff 64gb   free
76c00000-76cfffff 64gb   free
76d00000-76dfffff 64gb   free
76e00000-76efffff 64gb   free
76f00000-76ffffff 64gb   free
77000000-770fffff 64gb   free
77100000-771fffff 64gb   free
77200000-772fffff 64gb   free
77300000-773fffff 64gb   free
77400000-774fffff 64gb   free
77500000-775fffff 64gb   free
77600000-776fffff 64gb   free
77700000-777fffff 64gb   free
77800000-778fffff 64gb   free
77900000-779fffff 64gb   free
77a00000-77afffff 64gb   free
77b00000-77bfffff 64gb   free
77c00000-77cfffff 64gb   free
77d00000-77dfffff 64gb   free
77e00000-77efffff 64gb   free
77f00000-77ffffff 64gb   free
78000000-780fffff 64gb   free
78100000-781fffff 64gb   free
78200000-782fffff 64gb   free
78300000-783fffff 64gb   free
78400000-784fffff 64gb   free
78500000-785fffff 64gb   free
78600000-786fffff 64gb   free
78700000-787fffff 64gb   free
78800000-788fffff 64gb   free
78900000-789fffff 64gb   free
78a00000-78afffff 64gb   free
78b00000-78bfffff 64gb   free
78c00000-78cfffff 64gb   free
78d00000-78dfffff 64gb   free
78e00000-78efffff 64gb   free
78f00000-78ffffff 64gb   free
79000000-790fffff 64gb   free
79100000-791fffff 64gb   free
79200000-792fffff 64gb   free
79300000-793fffff 64gb   free
79400000-794fffff 64gb   free
79500000-795fffff 64gb   free
79600000-796fffff 64gb   free
